Cage,Observation,Time,Day,Treatment,TimeSpent
1,1,AM,1,Pollen,0
1,2,AM,1,Pollen,0
1,3,AM,1,Pollen,0
2,1,AM,1,Pollen,223
2,2,AM,1,Pollen,0
2,3,AM,1,Pollen,0
3,1,AM,1,Pollen,0
3,2,AM,1,Pollen,0
3,3,AM,1,Pollen,0
4,1,AM,1,Pollen,0
4,2,AM,1,Pollen,0
4,3,AM,1,Pollen,0
5,1,AM,1,Pollen,0
5,2,AM,1,Pollen,0
5,3,AM,1,Pollen,0
6,1,AM,1,Pollen,0
6,2,AM,1,Pollen,0
6,3,AM,1,Pollen,0
7,1,AM,1,Pollen,42
7,2,AM,1,Pollen,0
7,3,AM,1,Pollen,0
8,1,AM,1,Pollen,0
8,2,AM,1,Pollen,0
8,3,AM,1,Pollen,0
9,1,AM,1,Pollen,0
9,2,AM,1,Pollen,0
9,3,AM,1,Pollen,0
10,1,AM,1,Pollen,0
10,2,AM,1,Pollen,0
10,3,AM,1,Pollen,0
1,1,PM,1,Pollen,0
1,2,PM,1,Pollen,0
1,3,PM,1,Pollen,0
2,1,PM,1,Pollen,0
2,2,PM,1,Pollen,0
2,3,PM,1,Pollen,0
3,1,PM,1,Pollen,0
3,2,PM,1,Pollen,0
3,3,PM,1,Pollen,0
4,1,PM,1,Pollen,0
4,2,PM,1,Pollen,0
4,3,PM,1,Pollen,0
5,1,PM,1,Pollen,0
5,2,PM,1,Pollen,0
5,3,PM,1,Pollen,0
6,1,PM,1,Pollen,0
6,2,PM,1,Pollen,0
6,3,PM,1,Pollen,0
7,1,PM,1,Pollen,0
7,2,PM,1,Pollen,0
7,3,PM,1,Pollen,0
8,1,PM,1,Pollen,0
8,2,PM,1,Pollen,0
8,3,PM,1,Pollen,0
9,1,PM,1,Pollen,0
9,2,PM,1,Pollen,0
9,3,PM,1,Pollen,0
10,1,PM,1,Pollen,0
10,2,PM,1,Pollen,0
10,3,PM,1,Pollen,0
1,1,AM,2,Pollen,0
1,2,AM,2,Pollen,0
1,3,AM,2,Pollen,0
2,1,AM,2,Pollen,0
2,2,AM,2,Pollen,0
2,3,AM,2,Pollen,0
3,1,AM,2,Pollen,11
3,2,AM,2,Pollen,4
3,3,AM,2,Pollen,4
4,1,AM,2,Pollen,300
4,2,AM,2,Pollen,0
4,3,AM,2,Pollen,0
5,1,AM,2,Pollen,0
5,2,AM,2,Pollen,0
5,3,AM,2,Pollen,0
6,1,AM,2,Pollen,6
6,2,AM,2,Pollen,0
6,3,AM,2,Pollen,0
7,1,AM,2,Pollen,9
7,2,AM,2,Pollen,5
7,3,AM,2,Pollen,0
8,1,AM,2,Pollen,22
8,2,AM,2,Pollen,0
8,3,AM,2,Pollen,0
9,1,AM,2,Pollen,0
9,2,AM,2,Pollen,0
9,3,AM,2,Pollen,0
10,1,AM,2,Pollen,9
10,2,AM,2,Pollen,6
10,3,AM,2,Pollen,0
1,1,PM,2,Pollen,0
1,2,PM,2,Pollen,0
1,3,PM,2,Pollen,0
2,1,PM,2,Pollen,101
2,2,PM,2,Pollen,0
2,3,PM,2,Pollen,0
3,1,PM,2,Pollen,26
3,2,PM,2,Pollen,3
3,3,PM,2,Pollen,9
4,1,PM,2,Pollen,13
4,2,PM,2,Pollen,24
4,3,PM,2,Pollen,15
5,1,PM,2,Pollen,0
5,2,PM,2,Pollen,0
5,3,PM,2,Pollen,0
6,1,PM,2,Pollen,0
6,2,PM,2,Pollen,0
6,3,PM,2,Pollen,0
7,1,PM,2,Pollen,47
7,2,PM,2,Pollen,177
7,3,PM,2,Pollen,199
8,1,PM,2,Pollen,31
8,2,PM,2,Pollen,199
8,3,PM,2,Pollen,0
9,1,PM,2,Pollen,0
9,2,PM,2,Pollen,0
9,3,PM,2,Pollen,0
10,1,PM,2,Pollen,0
10,2,PM,2,Pollen,0
10,3,PM,2,Pollen,0
1,1,AM,3,Pollen,42
1,2,AM,3,Pollen,0
1,3,AM,3,Pollen,0
2,1,AM,3,Pollen,0
2,2,AM,3,Pollen,0
2,3,AM,3,Pollen,0
3,1,AM,3,Pollen,0
3,2,AM,3,Pollen,0
3,3,AM,3,Pollen,0
4,1,AM,3,Pollen,8
4,2,AM,3,Pollen,0
4,3,AM,3,Pollen,0
5,1,AM,3,Pollen,178
5,2,AM,3,Pollen,0
5,3,AM,3,Pollen,0
6,1,AM,3,Pollen,79
6,2,AM,3,Pollen,0
6,3,AM,3,Pollen,0
7,1,AM,3,Pollen,86
7,2,AM,3,Pollen,18
7,3,AM,3,Pollen,167
8,1,AM,3,Pollen,18
8,2,AM,3,Pollen,9
8,3,AM,3,Pollen,69
9,1,AM,3,Pollen,0
9,2,AM,3,Pollen,0
9,3,AM,3,Pollen,0
10,1,AM,3,Pollen,138
10,2,AM,3,Pollen,0
10,3,AM,3,Pollen,0
1,1,PM,3,Pollen,0
1,2,PM,3,Pollen,0
1,3,PM,3,Pollen,0
2,1,PM,3,Pollen,0
2,2,PM,3,Pollen,0
2,3,PM,3,Pollen,0
3,1,PM,3,Pollen,161
3,2,PM,3,Pollen,22
3,3,PM,3,Pollen,0
4,1,PM,3,Pollen,189
4,2,PM,3,Pollen,127
4,3,PM,3,Pollen,40
5,1,PM,3,Pollen,0
5,2,PM,3,Pollen,0
5,3,PM,3,Pollen,0
6,1,PM,3,Pollen,0
6,2,PM,3,Pollen,0
6,3,PM,3,Pollen,0
7,1,PM,3,Pollen,121
7,2,PM,3,Pollen,178
7,3,PM,3,Pollen,0
8,1,PM,3,Pollen,300
8,2,PM,3,Pollen,0
8,3,PM,3,Pollen,0
9,1,PM,3,Pollen,0
9,2,PM,3,Pollen,0
9,3,PM,3,Pollen,0
10,1,PM,3,Pollen,51
10,2,PM,3,Pollen,300
10,3,PM,3,Pollen,0
1,1,AM,4,Pollen,0
1,2,AM,4,Pollen,0
