Cage,Treatment,Day1Initial,Day1Final,Day1Change,Day2Initial,Day2Final,Day2Change,Day3Initial,Day3Final,Day3Change,Day4Initial,Day4Final,Day4Change,Obs1M1,Obs1M2,Obs1M3,Obs1A1,Obs1A2,Obs1A3,Obs2M1,Obs2M2,Obs2M3,Obs2A1,Obs2A2,Obs2A3,Obs3M1,Obs3M2,Obs3M3,Obs3A1,Obs3A2,Obs3A3,Obs4M1,Obs4M2,Obs4M3,Obs4A1,Obs4A2,Obs4A3
1,A,1.7486,1.7431,-0.003145373,1.7684,1.7557,-0.007181633,1.731,1.7135,-0.010109763,1.7069,1.681,-0.015173707,0,0,0,0,0,0,0,0,0,0,32,69,0,0,0,231,0,0,0,0,0,190,0,0
1,U,1.7432,1.7401,-0.001778339,1.6913,1.6629,-0.016791817,1.7376,1.7306,-0.004028545,1.7359,1.7328,-0.001785817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,M,1.6785,1.6389,-0.023592493,1.6845,1.6825,-0.001187296,1.7366,1.7195,-0.009846827,1.7632,1.7289,-0.019453267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,0,0,0
1,P,1.6836,1.5797,-0.061712996,1.6882,1.5421,-0.086541879,1.6955,1.5575,-0.08139192,1.6983,1.5744,-0.072955308,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
2,A,1.749,1.7292,-0.011320755,1.747,1.7278,-0.010990269,1.7299,1.7226,-0.004219897,1.775,1.7655,-0.005352113,0,0,0,0,0,0,0,0,0,249,300,300,0,0,0,0,0,0,0,0,0,0,0,0
2,U,1.7457,1.7345,-0.006415764,1.731,1.6973,-0.019468515,1.7298,1.7271,-0.001560874,1.7386,1.7359,-0.001552974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,M,1.7132,1.6613,-0.030294186,1.7921,1.7833,-0.00491044,1.6917,1.6643,-0.016196725,1.754,1.699,-0.031356899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,P,1.731,1.6196,-0.064355864,1.7149,1.5597,-0.090500904,1.6935,1.5107,-0.107942132,1.7709,1.5761,-0.110000565,223,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,138,113,44,47,0,0
3,A,1.711,1.7058,-0.003039158,1.735,1.7295,-0.003170029,1.7664,1.7633,-0.001754982,1.7453,1.7296,-0.008995588,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0
3,U,1.7391,1.732,-0.004082571,1.6662,1.6179,-0.028988117,1.7373,1.7341,-0.001841939,1.6971,1.6951,-0.001178481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,M,1.747,1.6975,-0.028334287,1.7487,1.7416,-0.004060159,1.7247,1.6948,-0.017336348,1.7544,1.7,-0.031007752,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3,P,1.7491,1.6465,-0.058658739,1.6535,1.5154,-0.083519806,1.6886,1.5138,-0.103517707,1.6915,1.5217,-0.100384274,0,0,0,0,0,0,11,4,4,26,3,9,0,0,0,161,22,0,137,0,0,154,0,0
4,A,1.7613,1.7555,-0.003293022,1.7509,1.7444,-0.003712376,1.7196,1.7052,-0.00837404,1.7328,1.7281,-0.002712373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,U,1.7698,1.7655,-0.002429653,1.72,1.6805,-0.022965116,1.7664,1.7633,-0.001754982,1.7629,1.7583,-0.002609337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,M,1.7856,1.7366,-0.027441756,1.7089,1.7068,-0.001228861,1.7361,1.7195,-0.009561661,1.7239,1.6723,-0.029932131,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,P,1.697,1.585,-0.065998821,1.7178,1.5735,-0.084002794,1.7516,1.5571,-0.111041334,1.7032,1.5536,-0.087834664,0,0,0,0,0,0,300,0,0,13,24,15,8,0,0,189,127,40,0,0,0,8,79,0
5,A,1.746,1.7392,-0.003894616,1.6854,1.681,-0.002610656,1.761,1.7532,-0.004429302,1.7112,1.7047,-0.003798504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,U,1.7643,1.7583,-0.003400782,1.7591,1.7389,-0.011483145,1.7184,1.7156,-0.001629423,1.7383,1.7363,-0.001150549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,M,1.7185,1.6879,-0.017806226,1.7417,1.7383,-0.001952116,1.7212,1.6967,-0.014234255,1.7739,1.7431,-0.017362873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,P,1.714,1.6134,-0.058693116,1.7578,1.5796,-0.101376721,1.7277,1.5626,-0.095560572,1.7402,1.5549,-0.106482014,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,232,0,0,300,0,0
6,A,1.7389,1.7171,-0.012536661,1.7566,1.741,-0.008880792,1.6914,1.6826,-0.005202791,1.7939,1.775,-0.010535704,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,U,1.776,1.7673,-0.004898649,1.743,1.7233,-0.011302352,1.7062,1.7001,-0.003575196,1.7367,1.7317,-0.002879023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,M,1.7426,1.6932,-0.028348445,1.753,1.749,-0.002281803,1.7392,1.7268,-0.007129715,1.7118,1.6874,-0.014254002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,P,1.7145,1.6054,-0.063633712,1.6626,1.5087,-0.092565861,1.7049,1.5368,-0.098598158,1.6648,1.5142,-0.090461317,0,0,0,0,0,0,6,0,0,0,0,0,79,0,0,0,0,0,189,0,0,0,0,0
7,A,1.7381,1.7242,-0.007997238,1.7501,1.7454,-0.002685561,1.7369,1.7249,-0.006908861,1.7337,1.7152,-0.01067082,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,U,1.7859,1.7739,-0.006719301,1.7264,1.703,-0.013554217,1.7445,1.7439,-0.000343938,1.7489,1.7474,-0.000857682,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,M,1.7489,1.6813,-0.038652868,1.7053,1.7034,-0.001114173,1.7229,1.7102,-0.007371293,1.7569,1.734,-0.013034322,21,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,P,1.7213,1.6379,-0.048451752,1.742,1.5476,-0.111595867,1.7115,1.4951,-0.126438796,1.7455,1.5309,-0.122944715,42,0,0,0,0,0,9,5,0,47,177,199,86,18,167,121,178,0,11,93,0,300,0,0
