Cage,Treatment,Day,Change
1,A,1,-0.003145373
1,U,1,-0.001778339
1,M,1,-0.023592493
1,P,1,-0.061712996
2,A,1,-0.011320755
2,U,1,-0.006415764
2,M,1,-0.030294186
2,P,1,-0.064355864
3,A,1,-0.003039158
3,U,1,-0.004082571
3,M,1,-0.028334287
3,P,1,-0.058658739
4,A,1,-0.003293022
4,U,1,-0.002429653
4,M,1,-0.027441756
4,P,1,-0.065998821
5,A,1,-0.003894616
5,U,1,-0.003400782
5,M,1,-0.017806226
5,P,1,-0.058693116
6,A,1,-0.012536661
6,U,1,-0.004898649
6,M,1,-0.028348445
6,P,1,-0.063633712
7,A,1,-0.007997238
7,U,1,-0.006719301
7,M,1,-0.038652868
7,P,1,-0.048451752
8,A,1,-0.010828679
8,U,1,-0.00374791
8,M,1,-0.031854117
8,P,1,-0.063763608
9,A,1,-0.005940258
9,U,1,-0.002050581
9,M,1,-0.020086418
9,P,1,-0.054353501
10,A,1,-0.010802021
10,U,1,-0.006462408
10,M,1,-0.042326502
10,P,1,-0.059246986
11,EA,1,0.003098818
11,EU,1,-0.003253922
11,EM,1,-0.01723356
11,EP,1,-0.060188457
12,EA,1,-0.001905862
12,EU,1,-0.001880031
12,EM,1,-0.012377077
12,EP,1,-0.054787535
13,EA,1,-0.003162919
13,EU,1,-0.001254347
13,EM,1,-0.01992077
13,EP,1,-0.057235924
14,EA,1,-0.00690797
14,EU,1,-0.152929097
14,EM,1,-0.018897816
14,EP,1,-0.065356295
15,EA,1,
15,EU,1,-0.003538694
15,EM,1,-0.018571592
15,EP,1,-0.057263206
1,A,2,-0.007181633
1,U,2,-0.016791817
1,M,2,-0.001187296
1,P,2,-0.086541879
2,A,2,-0.010990269
2,U,2,-0.019468515
2,M,2,-0.00491044
2,P,2,-0.090500904
3,A,2,-0.003170029
3,U,2,-0.028988117
3,M,2,-0.004060159
3,P,2,-0.083519806
4,A,2,-0.003712376
4,U,2,-0.022965116
4,M,2,-0.001228861
4,P,2,-0.084002794
5,A,2,-0.002610656
5,U,2,-0.011483145
5,M,2,-0.001952116
5,P,2,-0.101376721
6,A,2,-0.008880792
6,U,2,-0.011302352
6,M,2,-0.002281803
6,P,2,-0.092565861
7,A,2,-0.002685561
7,U,2,-0.013554217
7,M,2,-0.001114173
7,P,2,-0.111595867
8,A,2,-0.005535808
8,U,2,-0.010271547
8,M,2,-0.001335967
8,P,2,-0.085655132
9,A,2,-0.004010167
9,U,2,-0.031411508
9,M,2,-0.003533569
9,P,2,-0.055561849
10,A,2,-0.006461377
10,U,2,-0.013071512
10,M,2,-0.00248929
10,P,2,-0.078218736
11,EA,2,-0.001992032
11,EU,2,-0.01678713
11,EM,2,-0.000850822
11,EP,2,-0.060344324
12,EA,2,-0.003291373
12,EU,2,-0.016796809
12,EM,2,-0.001099601
12,EP,2,-0.059881306
13,EA,2,-0.001508801
13,EU,2,-0.018475489
13,EM,2,-0.003092723
13,EP,2,-0.0540119
14,EA,2,-0.000241196
14,EU,2,-0.025652771
14,EM,2,-0.001310915
14,EP,2,-0.061089838
15,EA,2,-0.001688599
15,EU,2,-0.011902076
15,EM,2,-0.003451617
15,EP,2,-0.062350957
1,A,3,-0.010109763
1,U,3,-0.004028545
1,M,3,-0.009846827
1,P,3,-0.08139192
2,A,3,-0.004219897
2,U,3,-0.001560874
2,M,3,-0.016196725
2,P,3,-0.107942132
3,A,3,-0.001754982
3,U,3,-0.001841939
3,M,3,-0.017336348
3,P,3,-0.103517707
4,A,3,-0.00837404
4,U,3,-0.001754982
4,M,3,-0.009561661
4,P,3,-0.111041334
5,A,3,-0.004429302
5,U,3,-0.001629423
5,M,3,-0.014234255
5,P,3,-0.095560572
6,A,3,-0.005202791
6,U,3,-0.003575196
6,M,3,-0.007129715
6,P,3,-0.098598158
7,A,3,-0.006908861
7,U,3,-0.000343938
7,M,3,-0.007371293
7,P,3,-0.126438796
8,A,3,-0.004740941
8,U,3,-0.002154294
8,M,3,-0.012719529
8,P,3,-0.083575497
9,A,3,-0.002691405
9,U,3,-0.011079512
9,M,3,-0.020483625
9,P,3,-0.060401146
10,A,3,-0.0058066
10,U,3,-0.001509697
10,M,3,-0.013484173
10,P,3,-0.084250782
11,EA,3,-0.004979111
11,EU,3,-0.00184009
11,EM,3,-0.009895772
11,EP,3,-0.060531966
12,EA,3,-0.00371036
12,EU,3,-0.002624828
12,EM,3,-0.010757018
12,EP,3,-0.0664903
13,EA,3,-0.002209006
13,EU,3,-0.003877988
13,EM,3,-0.008270159
13,EP,3,-0.064277689
14,EA,3,-0.001767087
14,EU,3,-0.000631132
14,EM,3,-0.007848673
14,EP,3,-0.068991572
15,EA,3,-0.002189738
15,EU,3,-0.001500895
15,EM,3,-0.011083324
15,EP,3,-0.098134539
1,A,4,-0.015173707
1,U,4,-0.001785817
1,M,4,-0.019453267
1,P,4,-0.072955308
2,A,4,-0.005352113
2,U,4,-0.001552974
2,M,4,-0.031356899
